,0
0,mobile_number
1,circle_id
2,loc_og_t2o_mou
3,std_og_t2o_mou
4,loc_ic_t2o_mou
5,last_date_of_month_6
6,last_date_of_month_7
7,last_date_of_month_8
8,last_date_of_month_9
9,arpu_6
10,arpu_7
11,arpu_8
12,arpu_9
13,onnet_mou_6
14,onnet_mou_7
15,onnet_mou_8
16,onnet_mou_9
17,offnet_mou_6
18,offnet_mou_7
19,offnet_mou_8
20,offnet_mou_9
21,roam_ic_mou_6
22,roam_ic_mou_7
23,roam_ic_mou_8
24,roam_ic_mou_9
25,roam_og_mou_6
26,roam_og_mou_7
27,roam_og_mou_8
28,roam_og_mou_9
29,loc_og_t2t_mou_6
30,loc_og_t2t_mou_7
31,loc_og_t2t_mou_8
32,loc_og_t2t_mou_9
33,loc_og_t2m_mou_6
34,loc_og_t2m_mou_7
35,loc_og_t2m_mou_8
36,loc_og_t2m_mou_9
37,loc_og_t2f_mou_6
38,loc_og_t2f_mou_7
39,loc_og_t2f_mou_8
40,loc_og_t2f_mou_9
41,loc_og_t2c_mou_6
42,loc_og_t2c_mou_7
43,loc_og_t2c_mou_8
44,loc_og_t2c_mou_9
45,loc_og_mou_6
46,loc_og_mou_7
47,loc_og_mou_8
48,loc_og_mou_9
49,std_og_t2t_mou_6
50,std_og_t2t_mou_7
51,std_og_t2t_mou_8
52,std_og_t2t_mou_9
53,std_og_t2m_mou_6
54,std_og_t2m_mou_7
55,std_og_t2m_mou_8
56,std_og_t2m_mou_9
57,std_og_t2f_mou_6
58,std_og_t2f_mou_7
59,std_og_t2f_mou_8
60,std_og_t2f_mou_9
61,std_og_t2c_mou_6
62,std_og_t2c_mou_7
63,std_og_t2c_mou_8
64,std_og_t2c_mou_9
65,std_og_mou_6
66,std_og_mou_7
67,std_og_mou_8
68,std_og_mou_9
69,isd_og_mou_6
70,isd_og_mou_7
71,isd_og_mou_8
72,isd_og_mou_9
73,spl_og_mou_6
74,spl_og_mou_7
75,spl_og_mou_8
76,spl_og_mou_9
77,og_others_6
78,og_others_7
79,og_others_8
80,og_others_9
81,total_og_mou_6
82,total_og_mou_7
83,total_og_mou_8
84,total_og_mou_9
85,loc_ic_t2t_mou_6
86,loc_ic_t2t_mou_7
87,loc_ic_t2t_mou_8
88,loc_ic_t2t_mou_9
89,loc_ic_t2m_mou_6
90,loc_ic_t2m_mou_7
91,loc_ic_t2m_mou_8
92,loc_ic_t2m_mou_9
93,loc_ic_t2f_mou_6
94,loc_ic_t2f_mou_7
95,loc_ic_t2f_mou_8
96,loc_ic_t2f_mou_9
97,loc_ic_mou_6
98,loc_ic_mou_7
99,loc_ic_mou_8
100,loc_ic_mou_9
101,std_ic_t2t_mou_6
102,std_ic_t2t_mou_7
103,std_ic_t2t_mou_8
104,std_ic_t2t_mou_9
105,std_ic_t2m_mou_6
106,std_ic_t2m_mou_7
107,std_ic_t2m_mou_8
108,std_ic_t2m_mou_9
109,std_ic_t2f_mou_6
110,std_ic_t2f_mou_7
111,std_ic_t2f_mou_8
112,std_ic_t2f_mou_9
113,std_ic_t2o_mou_6
114,std_ic_t2o_mou_7
115,std_ic_t2o_mou_8
116,std_ic_t2o_mou_9
117,std_ic_mou_6
118,std_ic_mou_7
119,std_ic_mou_8
120,std_ic_mou_9
121,total_ic_mou_6
122,total_ic_mou_7
123,total_ic_mou_8
124,total_ic_mou_9
125,spl_ic_mou_6
126,spl_ic_mou_7
127,spl_ic_mou_8
128,spl_ic_mou_9
129,isd_ic_mou_6
130,isd_ic_mou_7
131,isd_ic_mou_8
132,isd_ic_mou_9
133,ic_others_6
134,ic_others_7
135,ic_others_8
136,ic_others_9
137,total_rech_num_6
138,total_rech_num_7
139,total_rech_num_8
140,total_rech_num_9
141,total_rech_amt_6
142,total_rech_amt_7
143,total_rech_amt_8
144,total_rech_amt_9
145,max_rech_amt_6
146,max_rech_amt_7
147,max_rech_amt_8
148,max_rech_amt_9
149,date_of_last_rech_6
150,date_of_last_rech_7
151,date_of_last_rech_8
152,date_of_last_rech_9
153,last_day_rech_amt_6
154,last_day_rech_amt_7
155,last_day_rech_amt_8
156,last_day_rech_amt_9
157,date_of_last_rech_data_6
158,date_of_last_rech_data_7
159,date_of_last_rech_data_8
160,date_of_last_rech_data_9
161,total_rech_data_6
162,total_rech_data_7
163,total_rech_data_8
164,total_rech_data_9
165,max_rech_data_6
166,max_rech_data_7
167,max_rech_data_8
168,max_rech_data_9
169,count_rech_2g_6
170,count_rech_2g_7
171,count_rech_2g_8
172,count_rech_2g_9
173,count_rech_3g_6
174,count_rech_3g_7
175,count_rech_3g_8
176,count_rech_3g_9
177,av_rech_amt_data_6
178,av_rech_amt_data_7
179,av_rech_amt_data_8
180,av_rech_amt_data_9
181,vol_2g_mb_6
182,vol_2g_mb_7
183,vol_2g_mb_8
184,vol_2g_mb_9
185,vol_3g_mb_6
186,vol_3g_mb_7
187,vol_3g_mb_8
188,vol_3g_mb_9
189,arpu_3g_6
190,arpu_3g_7
191,arpu_3g_8
192,arpu_3g_9
193,arpu_2g_6
194,arpu_2g_7
195,arpu_2g_8
196,arpu_2g_9
197,night_pck_user_6
198,night_pck_user_7
199,night_pck_user_8
200,night_pck_user_9
201,monthly_2g_6
202,monthly_2g_7
203,monthly_2g_8
204,monthly_2g_9
205,sachet_2g_6
206,sachet_2g_7
207,sachet_2g_8
208,sachet_2g_9
209,monthly_3g_6
210,monthly_3g_7
211,monthly_3g_8
212,monthly_3g_9
213,sachet_3g_6
214,sachet_3g_7
215,sachet_3g_8
216,sachet_3g_9
217,fb_user_6
218,fb_user_7
219,fb_user_8
220,fb_user_9
221,aon
222,aug_vbc_3g
223,jul_vbc_3g
224,jun_vbc_3g
225,sep_vbc_3g
